"","region","year","est","lwr","upr","log_est","se","type"
"1","DEMD",1972,1311.08310584807,19.210505001166,89479.1110559501,7.17860887294302,2.15470878106313,"index"
"2","DEMD",1973,1640.56449136824,56.6460491674217,47513.4963496489,7.40279566364811,1.71736493437812,"index"
"3","DEMD",1974,8034.13855700506,787.831893047388,81930.4002830879,8.99145506109925,1.18480255046186,"index"
"4","DEMD",1975,15465.0656103207,1157.75724767806,206578.930782933,9.64633892761394,1.32252375175155,"index"
"5","DEMD",1976,113421.773813413,17458.2835849767,736870.764663906,11.6388686607811,0.95476200406601,"index"
"6","DEMD",1977,63485.8112264879,6387.28052823414,631011.618993278,11.058571714661,1.17170920405981,"index"
"7","DEMD",1978,45686.2899803812,5590.4769971017,373355.814406101,10.7295535314439,1.07182257177981,"index"
"8","DEMD",1979,54028.8999411761,3621.32633872176,806091.955215503,10.8972743664823,1.37894306128783,"index"
"9","DEMD",1980,82901.8548466826,6745.90213074232,1018798.88024171,11.3254127153807,1.27998383000877,"index"
"10","DEMD",1981,147531.784451911,14326.9217846833,1519211.71558529,11.9017989193574,1.18976840858684,"index"
"11","DEMD",1982,142787.228134956,18814.9601069628,1083616.03758697,11.8691108860569,1.03405129854239,"index"
"12","DEMD",1983,46396.9698811382,4241.17849601042,507566.190901001,10.7449894317961,1.22063109010619,"index"
"13","DEMD",1984,23341.1083801917,2374.54348081985,229436.666380921,10.0579713931531,1.16604740280429,"index"
"14","DEMD",1985,21639.3045507326,597.455256277062,783756.601887203,9.98226659523202,1.83145569379668,"index"
"15","DEMD",1986,16023.0481883189,412.052377550599,623071.45215699,9.68178347645009,1.86770422011747,"index"
"16","DEMD",1987,13074.5770742564,312.789068989762,546517.070506282,9.4784249422728,1.90457371122213,"index"
"17","DEMD",1988,20423.2703041691,589.648192616989,707387.854554308,9.92443023091181,1.80865780367478,"index"
"18","DEMD",1989,73995.9573581646,3962.11713025447,1381938.37419432,11.2117657403989,1.49351313251213,"index"
"19","DEMD",1990,53244.3365507921,3036.30118151328,933688.460155025,10.8826467220618,1.46137960067761,"index"
"20","DEMD",1991,29618.9264212589,4744.62515885632,184899.917901927,10.2961688421028,0.934405502195365,"index"
"21","DEMD",1992,25560.4803445779,2506.49209956745,260658.374131042,10.1488027011387,1.18479892219192,"index"
"22","DEMD",1993,13850.0854793872,955.122350966399,200838.00530083,9.53604668339335,1.3644165178633,"index"
"23","DEMD",1994,46190.7727527083,7353.85110858593,290131.99424194,10.740535333155,0.93754575712104,"index"
"24","DEMD",1995,75656.4056716177,13858.4527568119,413025.308062253,11.2339573907358,0.865988748425573,"index"
"25","DEMD",1996,13695.7805362023,1784.38511527692,105119.910993378,9.52484307431931,1.03982212365121,"index"
"26","DEMD",1997,10996.7622058205,1030.26321732485,117376.585883907,9.30535616352713,1.2080765681548,"index"
"27","DEMD",1998,7200.42390544884,789.234708149545,65691.6173133319,8.88189517902782,1.12799594501891,"index"
"28","DEMD",1999,1489.79705306086,76.0706826239878,29176.7496064106,7.3063951836632,1.51774842013893,"index"
"29","DEMD",2000,872.947480894235,38.093858685397,20004.2035828655,6.77187539468773,1.59789788976254,"index"
"30","DEMD",2001,1195.81490124311,76.950367480458,18583.0597676901,7.08658315768636,1.39973108867211,"index"
"31","DEMD",2002,2175.43101669144,208.129026735414,22738.2993262127,7.68498209248375,1.19738112678089,"index"
"32","DEMD",2003,2002.2657631954,141.908547461962,28251.0691439436,7.60203469991367,1.35045944855422,"index"
"33","DEMD",2004,2986.86728858305,192.280948806227,46397.6085774265,8.00198038756154,1.39952715033624,"index"
"34","DEMD",2005,4440.87631384334,205.622008346166,95910.8540640927,8.39860700393451,1.56766525090926,"index"
"35","DEMD",2006,53204.8006825521,4160.6473828159,680363.067382621,10.8819039096523,1.30026774355935,"index"
"36","DEMD",2007,249354.478604972,26162.7282423236,2376573.8582176,12.4266307719318,1.15029648451366,"index"
"37","DEMD",2008,139330.029561849,14851.4015299842,1307139.74021322,11.8446007112791,1.14224098505744,"index"
"38","DEMD",2009,518524.311150803,109172.899914592,2462767.42181214,13.1587421930179,0.794940143336357,"index"
"39","DEMD",2010,27017.5827693926,5168.59057531434,141228.013336418,10.2042431467201,0.843835828322912,"index"
"40","DEMD",2011,58082.6581455316,17846.5996004828,189032.939202571,10.9696224154199,0.602079504643862,"index"
"41","DEMD",2012,140603.812132127,43848.844146702,450854.118752715,11.8537013713064,0.594499563409662,"index"
"42","DEMD",2013,16309.0852163838,3142.84900687339,84632.211096861,9.69947760675724,0.840113708815911,"index"
"43","DEMD",2014,34164.3669673399,6031.00412574524,193533.936628643,10.4389384783542,0.88484772908758,"index"
"44","DEMD",2015,260002.66742043,82239.5978254909,822005.321684407,12.4684471692544,0.587283739860003,"index"
"45","DEMD",2016,358680.986452512,115498.421770405,1113885.78363685,12.7901886552922,0.578161904864309,"index"
"46","DEMD",2017,196047.801965598,56037.1157088781,685880.066619004,12.1861137960565,0.638962896891914,"index"
"47","DEMD",2018,252745.219404352,80905.4078655703,789565.835177484,12.4401372223788,0.581184799441558,"index"
"48","DEMD",2019,38512.4604051944,5501.73562560291,269589.400035761,10.5587371148017,0.992833664506103,"index"
"49","DEMD",2020,54547.1880912106,19164.2251864837,155257.815001903,10.9068214425671,0.533693936413685,"index"
"50","DEMD",2021,73028.4805183468,11355.2432586286,469664.880386071,11.1986047881311,0.949593934103232,"index"
"51","DEMD",2022,122726.263696313,29372.630178368,512781.310675728,11.7177116558487,0.72955069262211,"index"
"52","DEMD",2023,107329.165553656,26782.2126632893,430119.420052027,11.5836557048591,0.708259170196079,"index"
"53","MA",1972,5948.08191543983,40.3926370562654,875894.248337879,8.69082407941525,2.5470756613479,"index"
"54","MA",1973,7118.07086559254,65.7182999155328,770971.448024661,8.87039202184982,2.39035749359238,"index"
"55","MA",1974,8173.62974376346,102.576781705318,651299.661360608,9.00866836627464,2.23374347327271,"index"
"56","MA",1975,16063.2379920334,325.646495348552,792354.956906651,9.68428858561145,1.9890549997074,"index"
"57","MA",1976,35553.2501296158,2721.72928944124,464422.968030934,10.4787868552329,1.3111282401365,"index"
"58","MA",1977,15558.6570454477,482.119869890586,502098.801928237,9.65237248587444,1.77257323982868,"index"
"59","MA",1978,13001.5677318336,483.530617847962,349596.814029693,9.47282522392914,1.67947503707725,"index"
"60","MA",1979,13609.0078481631,1179.35580751746,157039.201766614,9.51848719424933,1.24786147653014,"index"
"61","MA",1980,9453.4842315267,339.88958243682,262933.519394747,9.15413865428286,1.69672395676034,"index"
"62","MA",1981,10149.7723785881,264.668945232705,389232.968932467,9.22520655846361,1.86060907521514,"index"
"63","MA",1982,13530.3082806975,373.673279101436,489917.937431685,9.5126875058792,1.83131205668315,"index"
"64","MA",1983,32401.1578759993,1442.82264518795,727625.83482232,10.3859494380554,1.58757651588843,"index"
"65","MA",1984,19682.3584054825,560.611126152465,691023.089499849,9.88747800110324,1.81556933891296,"index"
"66","MA",1985,36998.3679138824,916.528271679098,1493548.284968,10.5186290802179,1.88678781607373,"index"
"67","MA",1986,62194.9624212965,4153.6703667978,931275.958127755,11.0380292854361,1.38078130960453,"index"
"68","MA",1987,36354.0754626568,898.085690813666,1471595.43489348,10.501061593944,1.88819597467972,"index"
"69","MA",1988,26385.3467444158,530.268777046925,1312893.67384617,10.1805640874785,1.99349585696125,"index"
"70","MA",1989,53837.266608965,865.532160162079,3348750.52520523,10.8937211942513,2.10737375533719,"index"
"71","MA",1990,83748.1614179333,2336.34318244547,3002022.38848439,11.3355694962276,1.82616990975795,"index"
"72","MA",1991,188688.597519017,18332.8185236671,1942057.45219868,12.1478533030286,1.18951431087175,"index"
"73","MA",1992,56505.2840924021,6360.09774343423,502012.273892986,10.9420894365208,1.11445436195237,"index"
"74","MA",1993,15575.175753944,424.949948223252,570858.052296546,9.65343362795436,1.83751449682728,"index"
"75","MA",1994,6321.67056450535,98.8109135154765,404444.38073001,8.75173878203873,2.12173833575731,"index"
"76","MA",1995,3426.11234476683,37.9211961592566,309543.131225789,8.13918147016395,2.29783367679959,"index"
"77","MA",1996,1557.59629786962,16.396709511865,147962.993756862,7.35089907723803,2.32341942912168,"index"
"78","MA",1997,1224.93685052655,12.2331388750992,122656.196671824,7.11064457105948,2.35029624875626,"index"
"79","MA",1998,797.033363583029,9.32796845211814,68102.9514545823,6.68089653937331,2.26936786947005,"index"
"80","MA",1999,847.241347167757,11.1629521965952,64303.5899203775,6.74198559759082,2.2089105595945,"index"
"81","MA",2000,854.047176237806,14.0202829006958,52024.3838448918,6.74998643375907,2.09671269799086,"index"
"82","MA",2001,900.41971604565,18.4385446921741,43970.6971769761,6.80286100577824,1.98392304281317,"index"
"83","MA",2002,1345.64941752092,35.7614662418931,50634.7346785559,7.20463201381255,1.85093251236913,"index"
"84","MA",2003,1210.37897698819,33.5371117808456,43683.4655741497,7.09868879367509,1.82964390261769,"index"
"85","MA",2004,1288.15212303379,43.0480175938384,38546.1627462718,7.1609640076356,1.73403585655341,"index"
"86","MA",2005,1818.63606855315,97.1461668588178,34045.9871633343,7.50584208623775,1.49473428604114,"index"
"87","MA",2006,1592.25320407866,59.6344056088886,42513.5496868419,7.37290540154568,1.67588422268257,"index"
"88","MA",2007,2074.87859123475,63.6688700871221,67617.3640661962,7.63765792070469,1.77756438419677,"index"
"89","MA",2008,1821.84445348134,54.3281936690943,61093.82603252,7.50760470287004,1.79215608958112,"index"
"90","MA",2009,1657.0845627576,56.1572703246642,48897.1282303144,7.41281504977412,1.72689851612869,"index"
"91","MA",2010,2302.34905534616,98.9568134819198,53566.9145573472,7.7416852091276,1.60564260692869,"index"
"92","MA",2011,1767.90752737039,73.7851050483085,42359.4575529378,7.47755193830618,1.6206395019187,"index"
"93","MA",2012,1915.27415188327,96.1034967498714,38170.0479267639,7.55761605162066,1.52665578211297,"index"
"94","MA",2013,2874.99950658357,220.022584107446,37567.1533737616,7.96380778160833,1.31128816945782,"index"
"95","MA",2014,3495.55801019195,205.765387788494,59382.8045325918,8.15924830149219,1.4451855739741,"index"
"96","MA",2015,7123.0680373251,520.33603672506,97510.252381716,8.8710938157122,1.33503421951532,"index"
"97","MA",2016,9913.69728041329,572.331253860916,171721.172144056,9.20167264355848,1.45510566885695,"index"
"98","MA",2017,10646.5471247186,653.656006925027,173407.670820738,9.27299090492752,1.42370456659077,"index"
"99","MA",2018,61166.9735932141,9484.01310929337,394495.306516054,11.0213626756688,0.951037805252445,"index"
"100","MA",2019,221310.997220697,57604.5412706363,850255.143265694,12.3073242185265,0.686730748147974,"index"
"101","MA",2020,45644.3136992275,4148.94175570385,502152.957488324,10.7286343152684,1.22350499912357,"index"
"102","MA",2021,143513.20485455,27075.4263285704,760691.252565465,11.8741823298406,0.850934264630969,"index"
"103","MA",2022,285489.252774093,48064.34732054,1695729.1213373,12.5619596638464,0.909028796749609,"index"
"104","MA",2023,108331.354836205,6689.89852859288,1754239.22956215,11.5929499094266,1.42073831254465,"index"
"105","NC",1972,581.05611840209,13.7924929945595,24478.9838113879,6.3648473415198,1.90856715367144,"index"
"106","NC",1973,722.413635850399,29.1954326212061,17875.4488085073,6.58259787768653,1.63706354965582,"index"
"107","NC",1974,2323.626743674,119.03128859434,45359.8487227818,7.75088449563813,1.51609832178605,"index"
"108","NC",1975,4953.09250073938,526.331463099196,46611.5500229122,8.5077674081133,1.14381501575632,"index"
"109","NC",1976,3391.64017727249,246.364720985614,46691.8438892908,8.1290689114714,1.33791023129257,"index"
"110","NC",1977,6168.75888456894,670.335908598168,56767.9363254271,8.72725294343509,1.13240550238541,"index"
"111","NC",1978,13568.1893519523,1733.85837781386,106176.931545327,9.51548331370909,1.04970236679187,"index"
"112","NC",1979,25148.3187293963,3457.76088899821,182903.895098003,10.1325463235676,1.01235013630934,"index"
"113","NC",1980,17889.0367791157,1517.76031537834,210848.599506821,9.79194333375174,1.25867225251565,"index"
"114","NC",1981,69167.4070811019,10104.0684856473,473485.528044339,11.1442850347145,0.981442316189184,"index"
"115","NC",1982,8056.9023299973,320.35455886722,202630.720738459,8.99428443532533,1.64536495664399,"index"
"116","NC",1983,2590.84954829037,88.7103337246698,75667.637579969,7.85974111183268,1.72164629245757,"index"
"117","NC",1984,1505.35583734898,27.6124591589531,82067.8876877902,7.31678458601294,2.04009743438441,"index"
"118","NC",1985,1734.43634585318,25.1559049452553,119585.021662436,7.45843776689129,2.15990964233043,"index"
"119","NC",1986,2389.68223906683,34.8587259095238,163820.709297676,7.778915681721,2.15698463054631,"index"
"120","NC",1987,3173.88494389466,57.1669950191306,176212.614179041,8.06271165086873,2.04939221376309,"index"
"121","NC",1988,5620.48784170467,159.079867654473,198578.764519494,8.63417374369422,1.8187922754789,"index"
"122","NC",1989,22399.362614131,2305.30199714246,217642.393986233,10.016787782712,1.1601339797649,"index"
"123","NC",1990,7592.75212399565,311.231111809832,185231.754245912,8.93494940334856,1.62983282731546,"index"
"124","NC",1991,3651.38375783092,154.192647030125,86467.1798801572,8.20286148646634,1.61465146097889,"index"
"125","NC",1992,5034.78592381694,264.533293860685,95825.6290870329,8.52412628663544,1.50317005403568,"index"
"126","NC",1993,3544.10888249265,179.846488956496,69841.2732094074,8.173042034304,1.52091487901401,"index"
"127","NC",1994,3560.24589902727,152.221756053242,83268.9832924222,8.17758489422113,1.60831859158043,"index"
"128","NC",1995,3866.79186411204,85.776476604821,174314.449744171,8.26018046655184,1.94311512514187,"index"
"129","NC",1996,1391.10952277978,25.1424627682878,76968.8205249905,7.2378569255455,2.04763903658141,"index"
"130","NC",1997,1034.51664363766,32.0184764885656,33425.222038454,6.94168958563777,1.77318383736095,"index"
"131","NC",1998,436.676148368829,8.35740856940356,22816.4097723231,6.07919184111309,2.01842660018823,"index"
"132","NC",1999,345.189598776284,5.87254536370562,20290.3258678522,5.84409382774804,2.07851047141257,"index"
"133","NC",2000,359.727048072142,5.47423640151737,23638.6483197599,5.88534554407171,2.13539268126942,"index"
"134","NC",2001,459.24568827827,6.84625016933503,30806.1489115387,6.12958533543553,2.14589874444695,"index"
"135","NC",2002,1043.26364087114,19.3941771607125,56119.8866724036,6.95010919474792,2.03327017818738,"index"
"136","NC",2003,3411.51178948104,140.431599739335,82876.0244230715,8.13491081205518,1.62767800917931,"index"
"137","NC",2004,760.989845115949,19.585415920363,29568.2025198914,6.63462001364118,1.86729697021881,"index"
"138","NC",2005,442.09332580852,11.0025440419302,17763.7560894644,6.09152100415303,1.88441956622105,"index"
"139","NC",2006,415.147528564522,12.7114002904796,13558.49603779,6.02863394757584,1.77867283460216,"index"
"140","NC",2007,627.214832335438,25.8151011215521,15239.0821189981,6.44128911725058,1.62774903361948,"index"
"141","NC",2008,1438.57477557005,81.644589421293,25347.6366232627,7.27140816326733,1.46381904677066,"index"
"142","NC",2009,10927.2555253641,1401.49284000872,85198.3755520704,9.29901545406571,1.0478366992859,"index"
"143","NC",2010,7811.54011434015,1243.84270073144,49057.7779023525,8.96335742113163,0.937464472142362,"index"
"144","NC",2011,7682.75911055119,1145.98358579791,51505.7879381933,8.94673402080994,0.970791025592656,"index"
"145","NC",2012,10539.3278443817,1272.55200932992,87287.1447272698,9.26286904818154,1.07863687572615,"index"
"146","NC",2013,10471.4905466461,1385.75643257769,79127.9850417369,9.25641165730836,1.03186091327443,"index"
"147","NC",2014,6039.48971165723,611.228947090851,59675.5702602416,8.70607480253486,1.16869657952599,"index"
"148","NC",2015,10443.1616995423,1636.33568788499,66648.6877296856,9.25370266037215,0.94567450763585,"index"
"149","NC",2016,11011.6238706525,1578.27938660151,76827.8806009265,9.30670670936355,0.991148912875063,"index"
"150","NC",2017,3390.47617368731,368.829583226312,31167.0462650712,8.12872565472487,1.13185291614334,"index"
"151","NC",2018,7772.5279839456,1004.88657251748,60118.4182507988,8.95835074230541,1.04375427685653,"index"
"152","NC",2019,8713.80122384764,1400.73100877299,54207.6467881167,9.07266339529116,0.932626252959249,"index"
"153","NC",2020,2365.19014018241,239.401574197152,23367.1161853313,7.76861369523445,1.16862929349996,"index"
"154","NC",2021,55243.4628113481,10359.6348977336,294589.550067682,10.919505292223,0.854012130715173,"index"
"155","NC",2022,8034.56898103925,598.216360695027,107911.289213282,8.99150863404944,1.3253080969049,"index"
"156","NC",2023,5129.86589738365,253.437261362231,103834.47163094,8.54283479696225,1.53457845041107,"index"
"157","NJ",1972,36798.5841142281,5542.16492780169,244333.362585266,10.51321464826,0.965871913256789,"index"
"158","NJ",1973,9318.8618578928,387.750582606262,223961.459304038,9.13979578197075,1.62218974555836,"index"
"159","NJ",1974,7053.57883448654,364.219758610463,136601.524761121,8.86129040310008,1.5120344090841,"index"
"160","NJ",1975,11345.5574557746,1276.33904898581,100852.257152648,9.33658153269911,1.11472986695266,"index"
